gender,match,samerace,age_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,age,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga
0,0,0,27,35,20,20,20,0,5,6,8,8,8,8,6,21,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
0,0,0,22,60,0,0,40,0,0,7,8,10,7,7,5,21,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
0,1,1,22,19,18,19,18,14,12,10,10,10,10,10,10,21,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
0,1,0,23,30,5,15,40,5,5,7,8,9,8,9,8,21,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
0,1,0,24,30,10,20,10,10,20,8,7,9,6,9,7,21,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
0,0,0,25,50,0,30,10,0,10,7,7,8,8,7,7,21,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
0,0,0,30,35,15,25,10,5,10,3,6,7,5,8,7,21,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
0,0,0,27,33.33,11.11,11.11,11.11,11.11,22.22,6,7,5,6,8,6,21,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
0,1,0,28,50,0,25,10,0,15,7,7,8,8,8,9,21,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
0,0,0,24,100,0,0,0,0,0,6,6,6,6,6,6,21,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
0,0,1,27,35,20,20,20,0,5,8,7,6,9,7,4,24,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
0,0,1,22,60,0,0,40,0,0,7,6,10,6,6,5,24,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
0,0,0,22,19,18,19,18,14,12,10,10,10,10,10,10,24,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
0,1,1,23,30,5,15,40,5,5,9,9,9,9,9,9,24,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
0,0,0,24,30,10,20,10,10,20,10,10,10,10,7,8,24,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
0,0,1,25,50,0,30,10,0,10,7,8,7,5,7,7,24,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
0,0,1,30,35,15,25,10,5,10,5,3,4,3,5,3,24,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
0,0,1,27,33.33,11.11,11.11,11.11,11.11,22.22,7,7,7,7,7,5,24,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
0,1,1,28,50,0,25,10,0,15,8,6,9,9,8,7,24,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
0,0,1,24,100,0,0,0,0,0,6,5,7,7,9,7,24,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
0,0,1,27,35,20,20,20,0,5,7,8,6,5,8,4,25,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
0,0,1,22,60,0,0,40,0,0,6,7,10,6,6,5,25,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
0,0,0,22,19,18,19,18,14,12,10,10,10,10,10,10,25,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
0,0,1,23,30,5,15,40,5,5,7,9,8,8,8,8,25,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
0,0,0,24,30,10,20,10,10,20,6,10,8,6,,,25,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
0,0,1,25,50,0,30,10,0,10,7,6,6,6,6,6,25,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
0,0,1,30,35,15,25,10,5,10,6,3,5,4,5,4,25,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
0,0,1,27,33.33,11.11,11.11,11.11,11.11,22.22,4,5,6,4,6,4,25,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
0,0,1,28,50,0,25,10,0,15,7,7,6,8,7,7,25,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
0,0,1,24,100,0,0,0,0,0,5,6,8,5,8,6,25,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
0,0,1,27,35,20,20,20,0,5,6,7,8,7,7,5,23,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
0,0,1,22,60,0,0,40,0,0,6,5,10,6,6,5,23,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
0,0,0,22,19,18,19,18,14,12,10,10,10,10,10,10,23,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
0,1,1,23,30,5,15,40,5,5,7,7,7,9,9,9,23,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
0,0,0,24,30,10,20,10,10,20,8,8,9,8,8,9,23,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
0,0,1,25,50,0,30,10,0,10,6,6,7,7,8,7,23,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
0,0,1,30,35,15,25,10,5,10,7,6,3,5,6,5,23,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
0,0,1,27,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,6,6,5,23,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
0,1,1,28,50,0,25,10,0,15,7,7,7,10,9,10,23,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
0,0,1,24,100,0,0,0,0,0,7,8,8,7,8,7,23,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
0,0,1,27,35,20,20,20,0,5,6,8,8,8,7,6,21,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
0,0,1,22,60,0,0,40,0,0,6,7,10,7,6,5,21,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
0,0,0,22,19,18,19,18,14,12,10,10,10,10,10,10,21,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
0,1,1,23,30,5,15,40,5,5,6,8,6,8,10,10,21,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
0,0,0,24,30,10,20,10,10,20,5,9,9,7,9,5,21,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
0,0,1,25,50,0,30,10,0,10,5,8,7,7,7,7,21,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
0,0,1,30,35,15,25,10,5,10,2,3,4,4,5,3,21,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
0,0,1,27,33.33,11.11,11.11,11.11,11.11,22.22,5,5,6,5,5,5,21,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
0,1,1,28,50,0,25,10,0,15,5,9,9,9,9,6,21,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
0,0,1,24,100,0,0,0,0,0,3,10,7,7,10,5,21,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
0,0,0,27,35,20,20,20,0,5,7,9,8,9,8,4,23,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
0,0,0,22,60,0,0,40,0,0,6,8,10,6,7,6,23,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
0,0,1,22,19,18,19,18,14,12,10,10,10,10,10,10,23,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
0,1,0,23,30,5,15,40,5,5,6,8,8,7,9,8,23,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
0,0,0,24,30,10,20,10,10,20,9,7,9,7,9,6,23,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
0,0,0,25,50,0,30,10,0,10,6,6,8,8,8,7,23,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
0,0,0,30,35,15,25,10,5,10,5,6,8,4,5,4,23,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
0,0,0,27,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,7,8,5,23,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
0,1,0,28,50,0,25,10,0,15,6,7,7,6,6,6,23,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
0,0,0,24,100,0,0,0,0,0,7,10,10,6,10,7,23,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
0,0,0,27,35,20,20,20,0,5,7,8,8,8,7,7,22,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
0,0,0,22,60,0,0,40,0,0,7,9,10,6,6,5,22,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
0,0,1,22,19,18,19,18,14,12,10,10,10,10,10,10,22,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
0,1,0,23,30,5,15,40,5,5,8,8,9,8,9,9,22,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
0,0,0,24,30,10,20,10,10,20,8,7,9,6,9,5,22,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
0,0,0,25,50,0,30,10,0,10,8,8,8,6,6,6,22,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
0,0,0,30,35,15,25,10,5,10,7,6,5,4,4,3,22,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
0,0,0,27,33.33,11.11,11.11,11.11,11.11,22.22,8,7,6,7,7,5,22,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
0,1,0,28,50,0,25,10,0,15,9,7,9,9,9,10,22,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
0,0,0,24,100,0,0,0,0,0,7,6,8,6,8,7,22,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
0,0,1,27,35,20,20,20,0,5,8,7,6,6,6,5,25,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
0,1,1,22,60,0,0,40,0,0,8,8,10,7,6,5,25,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
0,1,0,22,19,18,19,18,14,12,10,10,10,10,10,10,25,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
0,1,1,23,30,5,15,40,5,5,8,8,8,8,8,7,25,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
0,1,0,24,30,10,20,10,10,20,9,9,8,9,,7,25,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
0,1,1,25,50,0,30,10,0,10,8,7,7,7,8,7,25,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
0,0,1,30,35,15,25,10,5,10,6,4,7,5,6,4,25,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
0,1,1,27,33.33,11.11,11.11,11.11,11.11,22.22,9,8,8,8,7,5,25,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
0,1,1,28,50,0,25,10,0,15,8,7,8,10,8,10,25,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
