student_id,class,co-op,prog_exp,age,start_sal,datetimestamp,python,java,r,c/c++,other(s)
740492,Sophomore,False,9,234,60,2022-09-09 15:37:00,True,False,False,False,True
20d026,Sophomore,False,7,233,100,2022-09-09 16:01:00,True,False,False,False,False
e7fc49,Junior,True,7,252,70,2022-09-09 14:19:00,True,True,False,True,False
a49897,Junior,False,7,243,50,2022-09-09 16:07:00,True,True,False,False,False
425374,Sophomore,False,5,231,90,2022-09-09 16:06:00,True,False,True,False,False
9e07b3,Junior,False,8,245,70,2022-09-09 15:27:00,True,True,False,False,False
acca05,Senior,True,7,258,90,2022-09-09 14:16:00,True,False,False,False,False
d2f643,Fifth year,True,3,264,45.517,2022-09-09 16:06:00,False,True,False,False,True
5e75d5,Sophomore,False,10,232,58,2022-09-09 16:07:00,False,True,True,False,False
2a4611,Junior,True,10,240,100,2022-09-09 14:13:00,True,True,True,True,False
f519a9,Fifth year,True,10,276,120,2022-09-09 14:15:00,True,True,False,True,False
aa2fc7,Sophomore,False,5,230,80,2022-09-09 16:07:00,True,False,False,False,False
bb4214,Senior,True,6,257,45.517,2022-09-09 14:14:00,True,False,False,False,False
911f42,Senior,True,8,265.25,45.517,2022-09-09 13:58:00,True,True,True,True,False
708181,Sophomore,False,6,239,85,2022-09-09 14:13:00,True,False,False,False,True
d2f13f,Sophomore,False,7,232,90,2022-09-09 15:35:00,True,True,True,False,False
89e722,Junior,True,10,,200,2022-09-09 14:13:00,True,True,False,False,False
baba1d,Junior,False,10,256,100,2022-09-09 14:13:00,True,True,False,True,False
2c6848,Sophomore,False,10,231,100,2022-09-09 15:55:00,True,True,False,False,False
ebda2d,Junior,True,10,247,100,2022-09-09 14:14:00,True,True,False,False,True
f54fee,Sophomore,False,7,232,80,2022-09-09 16:08:00,False,True,True,True,True
f8d4f8,Senior,True,3,265,45.517,2022-09-09 15:37:00,True,False,False,False,False
63cc25,Senior,True,4,281,90,2022-09-09 14:06:00,True,False,False,False,False
062e65,Sophomore,False,6,238,82.5,2022-09-09 15:45:00,True,True,False,False,False
910d37,Junior,True,8,254,65,2022-09-09 15:41:00,True,True,False,True,False
6e7251,Faculty,False,8,381,100,2022-08-30 13:49:00,True,True,True,False,False
59f171,Fifth year,True,4,266,60,2022-09-09 14:15:00,False,True,False,False,False
fb2989,Sophomore,False,6,230,100,2022-09-09 13:39:00,False,True,False,False,False
a4896d,Junior,True,4,241,40,2022-09-09 14:14:00,True,False,True,False,False
923448,Sophomore,False,7,235,80,2022-09-09 14:16:00,False,True,False,False,False
5202c5,Fifth year,True,9,270,80,2022-09-09 14:17:00,True,True,False,False,False
80d273,Sophomore,False,8,229,75,2022-09-09 13:45:00,True,True,True,False,False
65434c,Senior,True,7,264,100,2022-09-09 16:07:00,True,True,True,False,False
87736b,Sophomore,False,8,235,45.517,2022-09-09 14:13:00,True,True,False,False,False
29eb93,Senior,True,9,251,80,2022-09-09 16:07:00,True,False,False,False,False
2ca138,Senior,True,8,264,45.517,2022-09-09 14:13:00,True,False,False,False,True
b32361,Sophomore,False,6,232,70,2022-09-09 16:05:00,False,True,False,False,False
b31f5a,Sophomore,False,9,234,90,2022-09-09 16:06:00,True,True,False,False,False
2b8e04,Sophomore,False,8,232,80,2022-09-09 16:06:00,True,True,True,False,False
a000f2,Sophomore,False,10,230,100,2022-09-09 14:15:00,True,True,False,True,False
fdc1ce,Sophomore,False,8,232,165,2022-09-09 16:04:00,True,True,False,False,False
7fe27e,Junior,True,5,242,80,2022-09-09 14:13:00,True,False,False,False,False
b8a119,Sophomore,False,8,231,100,2022-09-09 17:47:00,True,False,False,False,False
331678,Sophomore,False,7,231,65,2022-09-11 11:56:00,True,True,False,False,False
e49f6d,Senior,True,7,264,100,2022-09-09 14:16:00,True,False,False,False,False
e20a23,Senior,True,5,257,75,2022-09-09 13:48:00,True,False,False,False,False
38ce83,Sophomore,False,7,226,90,2022-09-09 16:06:00,True,True,False,False,False
8562f7,Sophomore,False,10,237,100,2022-09-09 16:06:00,True,True,False,False,True
f3fc59,Sophomore,False,9,229,85,2022-09-09 15:43:00,True,False,True,False,False
bc30b6,Junior,True,7,245,170,2022-09-09 14:14:00,True,True,False,False,False
caca15,Sophomore,False,8,234,100,2022-09-09 15:53:00,True,True,False,False,False
ba82ee,Sophomore,False,10,233,80,2022-09-09 16:07:00,True,True,False,False,False
4e008a,Senior,True,5,273,72,2022-09-09 14:11:00,True,False,False,False,False
8776fc,Senior,False,5,254,62.4,2022-09-09 14:16:00,True,False,False,True,False
89fe65,Sophomore,False,8,231,100,2022-09-09 15:33:00,False,True,False,False,True
2b6b69,Sophomore,False,10,230,500,2022-09-09 15:38:00,True,True,False,False,True
194a2c,Senior,True,8,250,100,2022-09-09 14:04:00,True,True,False,False,True
322916,Senior,True,10,248,90,2022-09-09 15:43:00,True,True,False,False,False
2ca138,Junior,True,10,246,100,2022-09-09 16:06:00,True,True,False,True,False
f8c87b,Junior,True,5,247,85,2022-09-09 14:15:00,True,True,False,False,False
2c6f4f,Sophomore,False,6,238,75,2022-09-09 14:15:00,True,False,False,False,True
b2b90e,Sophomore,False,7,231,150,2022-09-09 15:34:00,False,True,False,False,True
cc734e,Senior,True,9,259,70,2022-09-09 16:03:00,True,True,False,False,False
f60531,Sophomore,False,7,237,75,2022-09-09 14:13:00,False,True,False,False,True
20e653,Junior,True,9,245,100,2022-09-09 14:14:00,True,True,False,True,False
88e161,Sophomore,False,6,240,80,2022-09-09 15:32:00,False,True,False,False,False
7da934,Sophomore,False,10,231,100,2022-09-09 15:43:00,True,True,False,True,True
901b98,Sophomore,False,8,235,64,2022-09-09 16:09:00,True,False,False,False,False
3523cc,Junior,True,9,243,100,2022-09-09 14:16:00,True,True,False,False,False
2204c2,Senior,True,10,255,100,2022-09-09 14:18:00,True,True,False,True,False
7f0ce2,Sophomore,False,10,237,91,2022-09-09 14:14:00,True,True,True,False,False
28c7e7,Sophomore,False,9,230,80,2022-09-09 14:13:00,False,True,False,False,False
5cd512,Sophomore,False,9,235,120,2022-09-09 13:42:00,True,True,False,True,False
fff41b,Senior,True,10,253,45.517,2022-09-09 14:15:00,True,False,False,False,False
02a6b5,Fifth year,True,6,,45.517,2022-09-09 14:14:00,False,True,True,True,False
1a0b32,Senior,True,10,251,95,2022-09-09 16:06:00,True,True,True,False,False
65db3c,Senior,True,8,251,90,2022-09-09 14:20:00,True,True,False,False,False
3a6075,Senior,True,10,263,90,2022-09-09 16:07:00,True,True,False,True,False
563e1c,Sophomore,False,9,236,100,2022-09-09 16:05:00,True,True,False,False,True
7da49a,Sophomore,False,7,227,45.517,2022-09-09 15:37:00,False,True,False,False,False
66300b,Senior,True,9,263,80,2022-09-09 14:16:00,True,False,False,False,False
62a2cf,Sophomore,False,9,245,100,2022-09-09 15:38:00,True,True,False,False,True
277657,Sophomore,False,10,233,95,2022-09-09 16:06:00,True,True,False,True,False
5a5403,Senior,True,7,272,100,2022-09-09 14:20:00,True,False,False,False,False
9b6af8,Sophomore,False,7,237,185,2022-09-09 14:17:00,True,False,False,False,False
923671,Sophomore,False,6,242,55,2022-09-09 16:07:00,True,True,False,False,True
0efab7,Sophomore,False,6,236,100,2022-09-09 16:06:00,False,True,False,False,False
874909,Sophomore,False,10,233,70,2022-09-09 13:43:00,True,True,False,True,False
eeea70,Sophomore,False,6,237,100,2022-09-09 15:54:00,True,True,False,True,False
16fc68,Sophomore,False,6,234,100,2022-09-09 16:07:00,False,True,False,False,False
8e86bf,Sophomore,False,7,233,80,2022-09-09 16:04:00,True,True,False,False,True
933149,Senior,True,5,275,90,2022-09-10 16:30:00,True,False,False,False,False
5f700d,Junior,True,8,262,100,2022-09-09 15:50:00,True,False,True,False,True
337136,Sophomore,False,7,230,73,2022-09-09 16:06:00,False,True,False,False,False
5cab45,Senior,True,10,264,100,2022-09-09 14:13:00,True,True,False,True,False
1e82c3,Junior,True,2,246,100,2022-09-09 13:46:00,False,True,False,False,False
ed1387,Sophomore,False,10,238,75,2022-09-09 13:43:00,True,True,True,False,False
1d0a68,Sophomore,False,5,228,70,2022-09-12 16:02:00,True,False,False,False,False
04a4e4,Sophomore,False,10,228,100,2022-09-15 10:36:00,False,True,False,False,True
d5042b,Sophomore,False,9,236,70,2022-09-15 14:12:00,False,True,False,False,False
83fd53,Sophomore,False,3,236,100,2022-09-16 13:32:00,True,True,False,False,False
664afa,Sophomore,False,7,228,45.517,2022-09-16 13:38:00,False,True,False,False,False
