bladelen,petiole,bladewid,latitude,logwid,logpet,loglen,arch,location
33.88,1.402632,13.65,5,2.6137395216,0.3383504716,3.5228248698,0,Sabah
33.32,1.01626,10.26,5,2.3282528397,0.0161292219,3.5061578173,0,Sabah
29.35,2.392025,12.21,5,2.5022552881,0.8721402875,3.3792925463,0,Sabah
26.87,0.808787,8.7,5,2.1633230257,-0.2122196846,3.2910104226,0,Sabah
26.67,0.802767,8.41,5,2.129421474,-0.219690769,3.2835393382,0,Sabah
24.23,1.490145,7.7,5,2.0412203289,0.3988734307,3.1875915348,0,Sabah
23.85,1.09233,5.69,5,1.7387102481,0.0883130295,3.1717842173,0,Sabah
23.3,1.9106,8.41,5,2.129421474,0.6474173289,3.1484533606,0,Sabah
23.11,1.881154,7.95,5,2.0731719287,0.6318854183,3.1402654243,0,Sabah
23.08,0.976284,6.98,5,1.9430489168,-0.0240017513,3.1389664416,0,Sabah
22.14,3.015468,8.01,5,2.0806907611,1.103755042,3.0973859273,0,Sabah
21.57,2.622912,8.67,5,2.1598687908,0.964285151,3.0713034604,0,Sabah
21.3,1.46118,6.59,5,1.8855533485,0.3792443285,3.0587070727,0,Sabah
20.97,1.360953,6.73,5,1.9065751437,0.3081851896,3.0430928449,0,Sabah
20.82,0.88485,6.71,5,1.903598951,-0.1223371399,3.0359140632,0,Sabah
20.48,0.970752,6.06,5,1.8017098001,-0.0296842501,3.0194488002,0,Sabah
20.42,1.223158,8.48,5,2.1377104498,0.2014360389,3.0165148127,0,Sabah
20.41,0.957229,6.24,5,1.8309801824,-0.0437126267,3.0160249768,0,Sabah
20.37,0.996093,5.07,5,1.6233408176,-0.0039146523,3.0140632302,0,Sabah
20.13,1.344684,6.73,5,1.9065751437,0.2961590412,3.0022112397,0,Sabah
20.04,1.178352,5.01,5,1.6114359151,0.1641168521,2.9977302762,0,Sabah
19.37,1.586403,6.62,5,1.8900953699,0.4614691893,2.9637254774,0,Sabah
19.34,1.088842,6.57,5,1.8825138325,0.0851147462,2.96217549,0,Sabah
19.3,1.32784,7.18,5,1.9712993831,0.2835535619,2.9601050959,0,Sabah
19.21,0.851003,6.89,5,1.930071085,-0.1613396252,2.9554309768,0,Sabah
19.02,0.886332,7.44,5,2.0068708488,-0.1206636807,2.9454910571,0,Sabah
18.56,0.950272,6.22,5,1.8277699068,-0.0510070196,2.9210087274,0,Sabah
18.34,0.673078,5.6,5,1.7227665977,-0.3958940571,2.9090844668,0,Sabah
18.19,0.616641,9.28,5,2.2278615468,-0.4834682721,2.9008719925,0,Sabah
18.17,0.368851,8.32,5,2.1186622548,-0.9973625105,2.8997718824,0,Sabah
18.07,0.719186,6.18,5,1.8213182715,-0.3296352621,2.8942531046,0,Sabah
17.6,0.62656,5.43,5,1.6919391339,-0.4675107391,2.867898902,0,Sabah
17.51,1.591659,5.85,5,1.7664416612,0.4647768685,2.8627721463,0,Sabah
17.26,0.573032,4.5,5,1.5040773968,-0.5568137174,2.8483916857,0,Sabah
17.26,0.916506,6.3,5,1.8405496334,-0.0871866651,2.8483916857,0,Sabah
17.22,0.609588,5.67,5,1.7351891177,-0.4949719598,2.846071499,0,Sabah
17.02,0.745476,5.6,5,1.7227665977,-0.2937323385,2.8343891231,0,Sabah
16.8,1.32384,5.93,5,1.780024213,0.2805366043,2.8213788864,0,Sabah
16.06,1.231802,6.07,5,1.8033586051,0.2084781379,2.7763317085,0,Sabah
15.94,0.543554,6.6,5,1.887069649,-0.6096262213,2.7688316734,0,Sabah
15.92,0.603368,6.21,5,1.8261608959,-0.5052279865,2.7675761804,0,Sabah
15.58,0.49856,4.54,5,1.5129270121,-0.6960313357,2.7459880404,0,Sabah
15.46,0.759086,5.51,5,1.7065646232,-0.275640201,2.7382560432,0,Sabah
15.02,0.787048,4.62,5,1.5303947051,-0.2394660413,2.7093826463,0,Sabah
14.92,0.971292,4.43,5,1.4883995841,-0.029128135,2.7027025948,0,Sabah
14.54,0.657208,5.01,5,1.6114359151,-0.41975472,2.6769034721,0,Sabah
14.08,0.188672,5.37,5,1.6808279085,-1.6677452213,2.6447553507,0,Sabah
13.75,0.55275,5.19,5,1.6467336972,-0.5928494592,2.6210388241,0,Sabah
13.74,0.987906,5.94,5,1.7817091334,-0.0121677275,2.6203112868,0,Sabah
13.59,0.354699,5.62,5,1.7263316639,-1.0364857365,2.6093342282,0,Sabah
13.27,0.759044,5.13,5,1.6351056592,-0.2756955323,2.5855058483,0,Sabah
13.07,0.713622,5.52,5,1.7083778603,-0.3374018686,2.5703195276,0,Sabah
13.02,0.576786,4.85,5,1.5789787049,-0.5502839652,2.5664866368,0,Sabah
13.02,0.171864,4.7,5,1.5475625087,-1.7610518126,2.5664866368,0,Sabah
12.99,1.982274,5.26,5,1.6601310267,0.6842446706,2.5641798307,0,Sabah
12.87,0.719433,4.97,5,1.6034198401,-0.3292918772,2.5548990216,0,Sabah
12.65,0.66286,5.18,5,1.6448050563,-0.4111914725,2.5376572152,0,Sabah
12.28,0.381908,5.51,5,1.7065646232,-0.9625755371,2.5079719227,0,Sabah
12.03,0.479997,2.33,5,0.8458682676,-0.7339754251,2.48740353,0,Sabah
11,0.4235,3.79,5,1.3323660191,-0.8592017649,2.3978952728,0,Sabah
10.4,0.85904,3.52,5,1.2584609896,-0.1519397923,2.3418058061,0,Sabah
10.02,0.3507,3.23,5,1.1724821372,-1.0478241218,2.3045830957,0,Sabah
9.81,0.36,2.82,5,1.036736885,-1.0216512475,2.2834022736,0,Sabah
8.42,0.22734,2.53,5,0.9282193027,-1.4813085847,2.1306098283,0,Sabah
2.28,0.112632,1.25,5,0.2231435513,-2.1836294118,0.824175443,0,Sabah
43.4,3.37652,10.94,5,2.392425797,1.2168455933,3.7704594411,1,Sabah
41.39,5.542121,17.75,5,2.8763855159,1.7123772795,3.7230393058,1,Sabah
33.35,3.231615,12.27,5,2.5071572587,1.1729820123,3.5070577724,1,Sabah
29.34,3.2274,10.05,5,2.3075726345,1.1716768595,3.3789517727,1,Sabah
29.25,4.431375,10.42,5,2.3437270363,1.4887099196,3.3758795737,1,Sabah
28.48,4.93,7.42,5,2.0041790572,1.5953389881,3.3492020865,1,Sabah
27.38,22.16,26.41,5,3.2737427263,3.0982888619,3.3098128199,1,Sabah
26.6,1.25552,7.25,5,1.9810014689,0.2275498294,3.2809112158,1,Sabah
24.88,3.301576,7.75,5,2.0476928434,1.1943999302,3.2140642679,1,Sabah
24.8,3.867,9.15,5,2.2137538793,1.3524790126,3.2108436532,1,Sabah
23.75,2.50325,7.14,5,1.9657127764,0.9175898876,3.1675825305,1,Sabah
22.05,4.588605,8.61,5,2.1529243184,1.5235760563,3.0933126019,1,Sabah
20.36,2.691592,6.08,5,1.805004696,0.9901328401,3.0135721917,1,Sabah
19.88,3.21062,6.08,5,1.805004696,1.1664640649,2.9897142012,1,Sabah
19.35,3.043755,6.96,5,1.9401794743,1.1130919506,2.9626924195,1,Sabah
6.74,0.219724,2.48,9.1,0.9082585602,-1.5153830657,1.9080599249,0,Panama
7.7,0.38962,3.14,9.1,1.1442227999,-0.9425833738,2.0412203289,0,Panama
7.97,0.28692,2.63,9.1,0.9669838462,-1.2485518477,2.0756844928,0,Panama
8.82,0.380142,3.78,9.1,1.3297240096,-0.9672104119,2.17702187,0,Panama
9.44,0.435184,3.95,9.1,1.3737155789,-0.8319863488,2.2449559802,0,Panama
9.92,0.29264,4.11,9.1,1.4134230285,-1.2288120943,2.2945529213,0,Panama
11.23,0.522195,4.11,9.1,1.4134230285,-0.6497141976,2.4185887688,0,Panama
11.26,0.5067,5.22,9.1,1.6524974019,-0.6798361665,2.4212566227,0,Panama
11.29,0.291282,4.17,9.1,1.4279160358,-1.2334634089,2.4239173782,0,Panama
12.12,0.566004,4.03,9.1,1.393766376,-0.5691541337,2.4948569806,0,Panama
12.26,0.605644,5.45,9.1,1.6956156087,-0.5014629243,2.5063419305,0,Panama
12.33,0.490734,3.72,9.1,1.3137236683,-0.7118530495,2.5120353172,0,Panama
12.92,0.576232,3.81,9.1,1.3376291891,-0.5512449216,2.5587764984,0,Panama
13,0.3107,3.65,9.1,1.2947271676,-1.1689274626,2.5649493575,0,Panama
13.56,0.973608,4.15,9.1,1.4231083342,-0.0267465204,2.6071242825,0,Panama
