city,tmpd,dptp,date,pm10tmean2,o3tmean2,no2tmean2
chic,42,32.2,2000-01-01,29.333333333,4.6212121212,24.069444444
chic,48,42.3,2000-01-02,47.5,16.527777778,16.3125
chic,35,33.7,2000-01-03,11.5,9.0990338164,15.114583333
chic,28,22.2,2000-01-04,19,11.059178744,23.801785714
chic,20,16.6,2000-01-05,23.5,4.3526570048,20.349802372
chic,34,25.3,2000-01-06,32,3.7618577075,22.088043478
chic,25,13.3,2000-01-07,27,7.9381313131,26.1
chic,37,28.5,2000-01-08,27,6.1944444444,23.766666667
chic,39,38.5,2000-01-09,25.5,1.8055555556,21.241666667
chic,42,34.9,2000-01-10,17,7.9444444444,19.732142857
chic,33,21.5,2000-01-11,24.5,11.819444444,17.765349144
chic,31,21.7,2000-01-12,18,11.933574879,21.394565217
chic,25,18.4,2000-01-13,19.142857143,8.7361111111,26.708695652
chic,20,14.5,2000-01-14,28,3.1117149758,35.158333333
chic,34,24.2,2000-01-15,35,3.3194444444,23.841666667
chic,31,19.4,2000-01-16,16,20.5,13.783333333
chic,22,12.7,2000-01-17,23.5,17.944444444,20.066666667
chic,25,20.9,2000-01-18,24.5,4.1400966184,28.315584416
chic,21,15.7,2000-01-19,33.285714286,3.0277777778,41.322463768
chic,10,2.1,2000-01-20,22.5,12.834541063,27.923809524
chic,5,-3.2,2000-01-21,46.5,6.3926767677,38.187022398
chic,17,14.5,2000-01-22,31.5,5.4305555556,36.375
chic,16,4.3,2000-01-23,27,14.638888889,20.1
chic,6,-0.6,2000-01-24,36,6.1805555556,36.1
chic,17,8.5,2000-01-25,23.857142857,10.575757576,28.091060606
chic,15,5.4,2000-01-26,31,9.1944444444,31.817457181
chic,20,11.5,2000-01-27,26,10.85326087,35.511363636
chic,21,14.5,2000-01-28,48.5,6.1944444444,47.25
chic,24,19.1,2000-01-29,32,21.305555556,22.066666667
chic,28,23.3,2000-01-30,28,8.8194444444,30.341666667
chic,20,14.4,2000-01-31,33.857142857,11.652777778,32.775
chic,25,16.5,2000-02-01,28.5,9.4027777778,33.53452381
chic,21,16,2000-02-02,41,6.5,37.121320346
chic,33,26.7,2000-02-03,28,10.186868687,29.039328063
chic,25,19,2000-02-04,20.5,12.208937198,30.066304348
chic,21,16.5,2000-02-05,27,11.472222222,28.208333333
chic,23,21.6,2000-02-06,37.666666667,6.3055555556,33.28125
chic,26,23.3,2000-02-07,25.5,14.3647343,30.136568627
chic,22,21.6,2000-02-08,39,9.8611111111,42.684782609
chic,41,30.2,2000-02-09,41.5,11.520531401,29.14229249
chic,35,32.1,2000-02-10,55,7.8888888889,30.016666667
chic,24,13.9,2000-02-11,16,19.430555556,24.891666667
chic,24,14.5,2000-02-12,27.166666667,21.375,26.491666667
chic,30,26.8,2000-02-13,36,11.819444444,21.991666667
chic,26,22.5,2000-02-14,17,13.178030303,30.771212121
chic,31,28.1,2000-02-15,29.5,4.9861111111,31.991666667
chic,28,19,2000-02-16,25,16.464975845,28.981431159
chic,27,18.6,2000-02-17,34,14.300724638,30.87594697
chic,30,27.8,2000-02-18,20.142857143,24.041666667,17.511363636
chic,29,21.7,2000-02-19,16,22.373737374,23.766666667
chic,27,19.7,2000-02-20,26,23.083333333,28.6
chic,35,29.1,2000-02-21,40,8.3055555556,37.345652174
chic,49,40.3,2000-02-22,39,8.3055555556,32.231818182
chic,59,40.6,2000-02-23,61,26.486111111,31.834057971
chic,49,49.9,2000-02-24,22.166666667,15.268978606,26.65538961
chic,55,50.3,2000-02-25,48.5,15.327898551,25.399275362
chic,56,51.7,2000-02-26,28.5,24.611111111,15.616666667
chic,45,30.7,2000-02-27,11.5,21.833333333,13.068627451
chic,43,26.8,2000-02-28,37,10.5,36.41547619
chic,54,34.4,2000-02-29,35,19.967391304,28.324275362
chic,46,32.9,2000-03-01,15.833333333,23.591269841,18.892236025
chic,33,23.8,2000-03-02,11.5,25.766908213,19.247463768
chic,35,24.1,2000-03-03,27,20,31.033333333
chic,46,30.7,2000-03-04,37,13.013888889,33.025
chic,52,36.5,2000-03-05,32,11.861111111,31.308333333
chic,51,32.1,2000-03-06,51.5,16.625,40.408333333
chic,66,49.7,2000-03-07,38.285714286,21.75,30.395843215
chic,67,50.9,2000-03-08,78,27.486111111,24.903623188
chic,46,32.7,2000-03-09,42.5,18.196859903,13.316666667
chic,30,21.9,2000-03-10,11,19.246376812,18.569565217
chic,30,19,2000-03-11,6,27.458333333,14.2
chic,34,19.3,2000-03-12,20,13.430555556,31.575
chic,39,33.4,2000-03-13,33.571428571,4.125,32.263333333
chic,45,32.6,2000-03-14,45.5,13.993961353,25.342028986
chic,50,41.9,2000-03-15,34,16.55615942,25.854710145
chic,33,22.3,2000-03-16,5.5,37.416666667,11.825
chic,32,18.5,2000-03-17,11,34.505693582,15.151811594
chic,34,20.8,2000-03-18,18,21.25,20.733333333
chic,39,34.1,2000-03-19,26.857142857,15.041666667,16.066666667
