student_id,class,co-op,prog_exp,age,start_sal,datetimestamp,python,java,r,c/c++,other(s)
740492,Sophomore,FALSE,9,234,60,9/9/2022 15:37,TRUE,FALSE,FALSE,FALSE,TRUE
20d026,Sophomore,FALSE,7,233,100,9/9/2022 16:01,TRUE,FALSE,FALSE,FALSE,FALSE
e7fc49,Junior,TRUE,7,252,70,9/9/2022 14:19,TRUE,TRUE,FALSE,TRUE,FALSE
a49897,Junior,FALSE,7,243,50,9/9/2022 16:07,TRUE,TRUE,FALSE,FALSE,FALSE
425374,Sophomore,FALSE,5,231,90,9/9/2022 16:06,TRUE,FALSE,TRUE,FALSE,FALSE
9e07b3,Junior,FALSE,8,245,70,9/9/2022 15:27,TRUE,TRUE,FALSE,FALSE,FALSE
acca05,Senior,TRUE,7,258,90,9/9/2022 14:16,TRUE,FALSE,FALSE,FALSE,FALSE
d2f643,Fifth year,TRUE,3,264,45.517,9/9/2022 16:06,FALSE,TRUE,FALSE,FALSE,TRUE
5e75d5,Sophomore,FALSE,10,232,58,9/9/2022 16:07,FALSE,TRUE,TRUE,FALSE,FALSE
2a4611,Junior,TRUE,10,240,100,9/9/2022 14:13,TRUE,TRUE,TRUE,TRUE,FALSE
f519a9,Fifth year,TRUE,10,276,120,9/9/2022 14:15,TRUE,TRUE,FALSE,TRUE,FALSE
aa2fc7,Sophomore,FALSE,5,230,80,9/9/2022 16:07,TRUE,FALSE,FALSE,FALSE,FALSE
bb4214,Senior,TRUE,6,257,45.517,9/9/2022 14:14,TRUE,FALSE,FALSE,FALSE,FALSE
911f42,Senior,TRUE,8,265.25,45.517,9/9/2022 13:58,TRUE,TRUE,TRUE,TRUE,FALSE
708181,Sophomore,FALSE,6,239,85,9/9/2022 14:13,TRUE,FALSE,FALSE,FALSE,TRUE
d2f13f,Sophomore,FALSE,7,232,90,9/9/2022 15:35,TRUE,TRUE,TRUE,FALSE,FALSE
89e722,Junior,TRUE,10,,200,9/9/2022 14:13,TRUE,TRUE,FALSE,FALSE,FALSE
baba1d,Junior,FALSE,10,256,100,9/9/2022 14:13,TRUE,TRUE,FALSE,TRUE,FALSE
2c6848,Sophomore,FALSE,10,231,100,9/9/2022 15:55,TRUE,TRUE,FALSE,FALSE,FALSE
ebda2d,Junior,TRUE,10,247,100,9/9/2022 14:14,TRUE,TRUE,FALSE,FALSE,TRUE
f54fee,Sophomore,FALSE,7,232,80,9/9/2022 16:08,FALSE,TRUE,TRUE,TRUE,TRUE
f8d4f8,Senior,TRUE,3,265,45.517,9/9/2022 15:37,TRUE,FALSE,FALSE,FALSE,FALSE
63cc25,Senior,TRUE,4,281,90,9/9/2022 14:06,TRUE,FALSE,FALSE,FALSE,FALSE
6.20E+66,Sophomore,FALSE,6,238,82.5,9/9/2022 15:45,TRUE,TRUE,FALSE,FALSE,FALSE
910d37,Junior,TRUE,8,254,65,9/9/2022 15:41,TRUE,TRUE,FALSE,TRUE,FALSE
6e7251,Faculty,FALSE,8,381,100,8/30/2022 13:49,TRUE,TRUE,TRUE,FALSE,FALSE
59f171,Fifth year,TRUE,4,266,60,9/9/2022 14:15,FALSE,TRUE,FALSE,FALSE,FALSE
fb2989,Sophomore,FALSE,6,230,100,9/9/2022 13:39,FALSE,TRUE,FALSE,FALSE,FALSE
a4896d,Junior,TRUE,4,241,40,9/9/2022 14:14,TRUE,FALSE,TRUE,FALSE,FALSE
923448,Sophomore,FALSE,7,235,80,9/9/2022 14:16,FALSE,TRUE,FALSE,FALSE,FALSE
5202c5,Fifth year,TRUE,9,270,80,9/9/2022 14:17,TRUE,TRUE,FALSE,FALSE,FALSE
80d273,Sophomore,FALSE,8,229,75,9/9/2022 13:45,TRUE,TRUE,TRUE,FALSE,FALSE
65434c,Senior,TRUE,7,264,100,9/9/2022 16:07,TRUE,TRUE,TRUE,FALSE,FALSE
87736b,Sophomore,FALSE,8,235,45.517,9/9/2022 14:13,TRUE,TRUE,FALSE,FALSE,FALSE
29eb93,Senior,TRUE,9,251,80,9/9/2022 16:07,TRUE,FALSE,FALSE,FALSE,FALSE
2ca138,Senior,TRUE,8,264,45.517,9/9/2022 14:13,TRUE,FALSE,FALSE,FALSE,TRUE
b32361,Sophomore,FALSE,6,232,70,9/9/2022 16:05,FALSE,TRUE,FALSE,FALSE,FALSE
b31f5a,Sophomore,FALSE,9,234,90,9/9/2022 16:06,TRUE,TRUE,FALSE,FALSE,FALSE
