fake_student_id,time_stamp,class,cs_ds,co_op,python_exp,dream_career,hobby,song,ai_feels,age_months,pets,credit_hours,work_hours
1460,9/4/2024 0:17,Sophomore,CS (incl. combined),No,3,Computer Programmer,I enjoy playing golf and djing.,https://open.spotify.com/track/2dshtwEGNpyrE0x69wUiHj?si=1ed5ef533c214d8a,"I think it's the future, and the future looks great!",237,2,18,0
1091,9/4/2024 7:51,Sophomore,DS (incl. combined),No,1,"Data Scientist, Investment Banker, Private Equity ","Exercising (Walking, Bouldering, Weightlifting)","Currently, Halo - Beyonce, https://open.spotify.com/album/39P7VD7qlg3Z0ltq60eHp7?uid=c4e5dd2ee5c1756aedbc&uri=spotify%3Atrack%3A4JehYebiI9JE8sR8MisGVb",I'm a bit worried it might be used for ill.,230,1,17,14
1764,9/4/2024 11:29,Junior,CS (incl. combined),Yes,1,,Cooking and listening to music!,https://open.spotify.com/track/42sqQTi2EqDPd6Iex66joE?si=6bd806edd2654873,I'm a bit worried it might be used for ill.,244,3,17,0
1464,9/4/2024 13:23,Sophomore,CS (incl. combined),No,3,Tech Entrepreneurship or Research,Soccer,Stairway to Heaven by Led Zeppelin,It's going to destroy us all!,238,0,18,0
1629,9/4/2024 14:17,Sophomore,DS (incl. combined),No,3,"Not sure yet, still exploring.",Video Editing,ocd - eriddoa (https://open.spotify.com/track/2GDnUFJ1ZwP3ooFqQHY1ht?si=5c63403e8db443b7),"I think it's the future, and the future looks great!",232,1,16,0
1177,9/4/2024 14:38,Junior,CS (incl. combined),No,2,,reading,meet me halfway - https://open.spotify.com/track/6wOYnPq1hPihRepcDClPUw?si=b958017e4d1e4ba9,"I think it's the future, and the future looks great!",249,7,19,0
1086,9/4/2024 14:55,Sophomore,DS (incl. combined),No,3,Consulting,baking or traveling,hmm I have a lot of favorites but right now Godlight by Noah Kahan,"I think it's the future, and the future looks great!",234,1,16,4
1448,9/4/2024 14:58,Sophomore,DS (incl. combined),No,3,Not entirely sure yet but I'd like to go for something machine learning related,Chess,It Has to Be This Way - Metal Gear Rising: Revengeance; https://open.spotify.com/track/65yNr1EO2TOBEYCz45tuOf,"It will be useful, but it won't change the world signicantly.",235,4,18,0
1540,9/4/2024 14:58,Sophomore,CS (incl. combined),No,2,not sure,golf,https://open.spotify.com/track/4boJYAy3ZQmCHp6xIKDJIx?si=1e100ac7966f4a5e,"I think it's the future, and the future looks great!",237,12,19,20
1985,9/4/2024 14:59,Sophomore,DS (incl. combined),No,4,Data Engineer,Soccer,28 By Zack Bryan,"I think it's the future, and the future looks great!",237,3,17,6
1446,9/4/2024 15:03,Sophomore,CS (incl. combined),No,2,swe,golf/music,call it a day spank ; https://open.spotify.com/track/4boJYAy3ZQmCHp6xIKDJIx?si=1e100ac7966f4a5e,"I think it's the future, and the future looks great!",238,12,19,20
1588,9/4/2024 15:04,Sophomore,DS (incl. combined),No,2,anything data science related (but specifically sports analytics sounds super cool),"I love playing tennis or doing anything adventurous like hiking, skiing, or traveling","I don't have a single favorite song, but my favorite artists are Kanye, Daniel Cesar, and Tupac","I think it's the future, and the future looks great!",240,0,17,0
1890,9/4/2024 15:15,Sophomore,CS (incl. combined),No,2,Data Analyst,Dancing,Riptide by Vance Joy,"I think it's the future, and the future looks great!",228,0,17,8
1388,9/4/2024 15:17,Junior,DS Minor,Yes,1,Business/Marketing Analyst,League of Legends,No Blueberries https://open.spotify.com/track/4lpvCG7eNzHAXwvMxWUNjz?si=7bdb54fddf054366,I'm a bit worried it might be used for ill.,249,0,16,0
1515,9/4/2024 15:21,Sophomore,CS (incl. combined),No,2,a high paying cs job,videogames,https://open.spotify.com/track/6C2nVSSeXNqfoY8t6tliZ4?si=1ed55b7a805c410b,I'm a bit worried it might be used for ill.,241,4,16,0
1718,9/4/2024 15:21,Sophomore,Economics major DS minor,No,1,haven't figured it out yet,drawing,Say - Keshi,I'm a bit worried it might be used for ill.,230,2,16,0
1899,9/4/2024 15:27,Junior,DS (incl. combined),No,4,Market analyst/ data analyst,gym,https://open.spotify.com/track/19a3JfW8BQwqHWUMbcqSx8?si=0455d59acc1c4c4b,Meh.,240,0,16,0
1381,9/4/2024 15:32,Junior,DS (incl. combined),No,3,stock,snowboarding,long distance,"I think it's the future, and the future looks great!",253,5,16,6
1229,9/4/2024 15:32,Sophomore,DS (incl. combined),No,3,Not 100 percent sure yet,Hanging out with friends,Summertime Sadness,I'm a bit worried it might be used for ill.,237,10,18,5
1959,9/4/2024 15:33,Junior,DS (incl. combined),Yes,4,Data Science/Quantitative Finance/Banking,DJing/Music Production,https://open.spotify.com/track/5ekfEEnkAHxrn2KNvyZg7E?si=2b6623197e6f4d24,"I think it's the future, and the future looks great!",242,1,16,0
1180,9/4/2024 15:34,Junior,DS (incl. combined),No,3,,,,"I think it's the future, and the future looks great!",,,,
1675,9/4/2024 15:35,Junior,DS (incl. combined),No,4,I want to be a business analytist,I like listening to music,Cool with you. https://open.spotify.com/track/02wk5BttM0QL38ERjLPQJB?si=82e04c4001424613,"I think it's the future, and the future looks great!",253,1,16,0
1944,9/4/2024 15:35,Sophomore,CS (incl. combined),No,3,Software Engineer,Playing Guitar,Achilles Come Down,"It will be useful, but it won't change the world signicantly.",230,2,17,0
1455,9/4/2024 15:35,Sophomore,DS (incl. combined),No,2,I definitely want to pursue finance or data in sports.,Fiber Arts (Crochet/Knitting),Die with a Smile by Bruno Mars & Lady Gaga ,I'm a bit worried it might be used for ill.,230,3,17,0
1456,9/4/2024 15:36,Sophomore,DS (incl. combined),No,2,"Public Transportation, or Food Industry",Shopping and Exploring,we're all eating each other   https://open.spotify.com/track/6BrfgV35h3NfTtIdMqhmFQ?si=2d7ceb1292174e66 ,"I think it's the future, and the future looks great!",239,3.5,17,10
1637,9/4/2024 15:36,Sophomore,CS (incl. combined),No,3,Researcher,Photography,Pyramids Frank Ocean,"I think it's the future, and the future looks great!",245,50,17,15
1292,9/4/2024 15:36,Sophomore,CS (incl. combined),No,1,AI Engineer,Playing soccer,No Such Thing as a Borken Heart by Old Dominion: https://open.spotify.com/track/0OlS52TmtK2gPaEtdmr7DN,"I think it's the future, and the future looks great!",238,0,18,0
1247,9/4/2024 15:37,Senior,Finance/Math (minor in DS),Yes,2,Actuarial Science,Playing baseball,,"I think it's the future, and the future looks great!",254,3,16,12
1593,9/4/2024 15:37,Senior,CS (incl. combined),Yes,4,Software Engineer,Water polo,places to be - Fred Again.. https://open.spotify.com/track/561pBFcFL2Pwb9HPO9tU8J?si=feca0d1265f248d7,"It will be useful, but it won't change the world signicantly.",266,1,16,10
1598,9/4/2024 15:38,Sophomore,CS (incl. combined),No,4,Machine Learning Researcher,Tennis,Take Me Out https://open.spotify.com/track/20I8RduZC2PWMWTDCZuuAN,"I think it's the future, and the future looks great!",230,2,19,0
